Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,DMA_50_200,RSI,EMA_12,EMA_26,MACD,Signal_Line,Middle_Band,Upper_Band,Lower_Band,Volume_Change,Sentiment,Future Close
52.840276131461685,54.3680775503064,52.28882018157958,53.56349563598633,74680900,0.0,0.0,44.00137229919434,47.88424768447876,-3.8828753852844216,90.74547597914349,47.78470822316323,46.08522389942206,1.6994843237411672,0.8504126440565537,45.500948905944824,51.66306366829642,39.33883414359323,-0.3980778701176023,0,51.222076416015625
53.20188872416388,53.9251117393238,51.98145592110162,52.05377960205078,50265400,0.0,0.0,44.23739288330078,47.91457513809204,-3.677182254791262,81.41065931926201,48.441488435299775,46.527339136653815,1.9141492986459596,1.063159974974435,45.79294929504395,52.61538235720012,38.970516232887775,-0.3269309823529175,0,50.119163513183594
52.37921919860361,52.740830660467346,51.61983788755575,52.42442321777344,35647100,0.0,0.0,44.465568695068356,47.93580835342407,-3.470239658355716,81.8553205653093,49.05424763260342,46.96416017969972,2.0900874529037026,1.2685454705602885,46.124726104736325,53.56383299896566,38.68561921050699,-0.2908223151511775,0,49.91123962402344
52.65043776999259,53.53638219695184,52.514832588397766,53.03916549682617,28701300,0.0,0.0,44.70043441772461,47.961090335845945,-3.260655918121337,79.93549058030709,49.66731191940692,47.414160573560935,2.2531513458459855,1.4654666456174281,46.63143253326416,54.514452588782945,38.748412477745376,-0.19484894984444734,0,48.44672393798828
53.37365487895273,57.81241899222635,52.63235440412696,56.46541976928711,86519500,0.0,0.0,45.00906867980957,47.98444519042969,-2.9753765106201158,86.75607419585036,50.71317466554233,48.0846242176888,2.6285504478535344,1.6980834060646495,47.35917301177979,56.05283122118813,38.66551480237145,2.0144801803402634,0,50.68870162963867
53.20189069964345,53.89799063600339,51.21303767985282,51.222076416015625,85729300,0.0,0.0,45.209039001464845,47.98171630859375,-2.7726773071289017,64.62792343423693,50.791467242538225,48.31702808423153,2.4744391583066943,1.8533545565130587,47.83333473205566,56.26686252547828,39.39980693863304,-0.009133201185859807,0,50.182437896728516
50.9689495382672,51.0774316132585,48.87161102932623,50.119163513183594,61968500,0.0,0.0,45.38984413146973,47.97090221405029,-2.5810580825805616,61.79959984653823,50.68803589956059,48.45051959748724,2.2375163020733524,1.9301869056251175,48.23426971435547,56.27345120076505,40.19508822794589,-0.27716078400266886,0,51.24918746948242
49.97452112375023,50.806226253647175,49.585789940523895,49.91123962402344,31485900,0.0,0.0,45.5500373840332,47.96720369338989,-2.4171663093566877,59.68829452315813,50.568528780247185,48.55872108093436,2.009807699312823,1.9461110643626587,48.60220832824707,56.20839498703454,40.99602166945961,-0.49190475806256406,0,52.433467864990234
49.36883030957246,49.58579448607261,48.18455573018247,48.44672393798828,49722900,0.0,0.0,45.706253128051756,47.949268398284914,-2.2430152702331583,55.00605805176245,50.24209726605351,48.550424996271694,1.6916722697818187,1.8952233054464909,48.896921157836914,55.953005579349075,41.84083673632475,0.5792116471182338,0,52.14418029785156
49.531550273062685,51.89105701305465,49.450187852766994,50.68870162963867,49202600,0.0,0.0,45.89808746337891,47.93385591506958,-2.0357684516906716,57.38766859252011,50.310805629681994,48.70881585800258,1.6019897716794134,1.8365765986930755,49.198865509033205,56.00201818912908,42.39571282893733,-0.010463991440563647,0,53.47024917602539
50.60733084903422,51.67408087286972,50.04683618435908,50.182437896728516,37256200,0.0,0.0,46.066597595214844,47.92384572982788,-1.8572481346130374,57.34397331259673,50.29105674768915,48.81797304605635,1.4730837016327953,1.7638780192810197,49.504425811767575,55.8729529651851,43.13589865835005,-0.2428001772264068,0,52.915443420410156
50.5802107510834,51.88200580071736,50.363243185186505,51.24918746948242,26926600,0.0,0.0,46.26837600708008,47.91065948486328,-1.6422834777832023,59.4149838078355,50.43846147411888,48.99806300334717,1.4403984707717115,1.6991821095791582,49.814958572387695,55.864274011434766,43.765643133340625,-0.2772585502547227,0,53.806766510009766
51.701206124006575,52.6865938476885,51.420960485614316,52.433467864990234,23580900,0.0,0.0,46.50233772277832,47.90530046463013,-1.402962741851809,58.82789253646872,50.74538553425293,49.252537437542955,1.4928480967099773,1.657915307005322,50.191485214233396,55.88017577599254,44.50279465247425,-0.12425259780291609,0,53.461158752441406
52.33402478580562,52.731798130375516,51.872973393833924,52.14418029785156,21893200,0.0,0.0,46.72038871765137,47.90372501373291,-1.1833362960815421,51.548580319596596,50.96058472865273,49.466733204973224,1.4938515236795027,1.6251025503401582,50.5110580444336,55.85764731313787,45.164468775729326,-0.07157063555674292,0,53.533912658691406
52.39702397849234,53.55210545276996,52.01502686384589,53.47024917602539,29853800,0.348,0.0,46.9691195678711,47.921278591156,-0.9521590232849064,49.773174623618715,51.34668695132544,49.76328994356968,1.5833970077557566,1.616761441823278,50.8747859954834,55.96909719883779,45.78047479212901,0.36361061882228274,0,55.17103958129883
53.66124347590387,53.73400614937411,52.860871415307486,52.915443420410156,23432600,0.0,0.0,47.1946403503418,47.91948181152344,-0.7248414611816401,52.19814782592787,51.58803410041539,49.99678279370601,1.5912513067093812,1.6116594148004988,51.16150398254395,56.02054294679364,46.30246501829426,-0.21508819647750033,0,56.21697998046875
53.09734777600084,53.86133851628557,52.706257071479165,53.806766510009766,34358300,0.0,0.0,47.42081115722656,47.92683979034424,-0.5060286331176798,53.435170079183536,51.929377548045295,50.279003809728515,1.6503737383167802,1.6194022795037553,51.517196846008304,56.027943311871255,47.00645038014535,0.46626067956607464,0,56.817256927490234
