Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_50,SMA_200,DMA_50_200,RSI,EMA_12,EMA_26,MACD,Signal_Line,Middle_Band,Upper_Band,Lower_Band,Volume_Change,Sentiment,Future Close
2023-09-20,19.911833966057195,19.96457448986807,19.774709701538086,19.774709701538086,2100,0.0,0.0,0.0,20.19118450164795,19.619453086853028,0.5717314147949217,38.10870715660361,19.797452782951247,19.876456222683956,-0.07900343973270907,-0.10541261126774348,19.81014127731323,20.109229777587142,19.51105277703932,-0.34375,0,19.128400802612305
2023-09-21,19.656764767561935,19.656764767561935,19.45635223388672,19.45635223388672,9200,0.0,0.0,0.0,20.16911033630371,19.62256790161133,0.5465424346923804,34.24222816716299,19.744975775402857,19.845337408698978,-0.1003616332961208,-0.10440241567341896,19.79120292663574,20.12908354646312,19.45332230680836,3.3809523809523814,0,19.254976272583008
2023-09-22,19.54265092745624,19.609776390260983,19.504295349121094,19.504295349121094,1100,0.0,0.0,0.0,20.141973114013673,19.627171773910522,0.5148013401031513,34.033052559922155,19.707948017513356,19.82007503391543,-0.11212701640207356,-0.10594733581914989,19.783052062988283,20.140797681775524,19.42530644420104,-0.8804347826086957,0,19.23004913330078
2023-09-25,19.350869507670435,19.451554959080426,19.350869507670435,19.424705505371094,6200,0.0,0.0,0.0,20.116446838378906,19.63143829345703,0.4850085449218753,35.905955602308396,19.664372246414548,19.790788402171405,-0.12641615575685705,-0.11004109980669133,19.769675254821777,20.160221728794095,19.37912878084946,4.636363636363637,0,19.04210090637207
2023-09-26,19.30292334602641,19.30292334602641,19.164840698242188,19.164840698242188,1300,0.0,0.0,0.0,20.085493087768555,19.63467122077942,0.4508218669891342,32.84223045204176,19.587521239003415,19.74442190558406,-0.1569006665806434,-0.11941301316148176,19.734147548675537,20.205183352571662,19.263111744779412,-0.7903225806451613,0,18.74867057800293
2023-09-27,19.178264333775687,19.178264333775687,19.03442771706873,19.128400802612305,2600,0.0,0.0,0.0,20.052199630737306,19.63694809913635,0.41525153160095485,35.17419773316054,19.516887325712478,19.698790712771334,-0.18190338705885623,-0.13191108794095666,19.685242938995362,20.19501269749323,19.175473180497494,1.0,0,18.741960525512695
2023-09-28,19.2645656237071,19.301004426385962,19.235797570334825,19.254976272583008,17500,0.0,0.0,0.0,20.022281494140625,19.640216789245606,0.38206470489501854,39.95115734796029,19.476593317538715,19.66591556905368,-0.18932225151496596,-0.14339332065575852,19.643098640441895,20.148586754178734,19.137610526705057,5.730769230769231,0,18.798534393310547
2023-09-29,19.370050394558803,19.370050394558803,19.19744569898435,19.23004913330078,2300,0.0,0.0,0.0,19.99401279449463,19.64355665206909,0.35045614242553924,29.03225356493745,19.43866344304057,19.633629166405317,-0.1949657233647457,-0.15370780119755598,19.607954502105713,20.126173308802013,19.089735695409413,-0.8685714285714285,0,19.018125534057617
2023-10-02,19.139909379307905,19.139909379307905,18.996072744173308,19.04210090637207,2600,0.0,0.0,0.0,19.961026229858398,19.64494983673096,0.31607639312743885,27.094197559470658,19.377653822014647,19.589812258254707,-0.2121584362400597,-0.16539792820605673,19.560776042938233,20.105341743706624,19.016210342169842,0.13043478260869557,0,18.881004333496094
2023-10-03,18.967303398032637,18.967303398032637,18.708396399941943,18.74867057800293,12300,0.0,0.0,0.0,19.919390182495118,19.644899168014526,0.2744910144805921,22.999901651264224,19.280887169089766,19.527505467124943,-0.24661829803517676,-0.18164200217188076,19.50683698654175,20.145722859308414,18.867951113775085,3.730769230769231,0,19.178264617919922
2023-10-04,18.698809353844545,18.76593299222123,18.63168571546786,18.741960525512695,41000,0.0,0.0,0.0,19.8762007522583,19.647141160964967,0.22905959129333198,11.55536022570702,19.197975377770216,19.469316952931443,-0.2713415751612267,-0.19958191676974996,19.45889139175415,20.175644693219407,18.742138090288893,2.3333333333333335,0,19.26456642150879
2023-10-05,18.689217981632854,18.798534393310547,18.689217981632854,18.798534393310547,1300,0.0,0.0,0.0,19.83289623260498,19.650108890533446,0.1827873420715349,15.24327030985009,19.136522918622575,19.41962935592249,-0.2831064372999137,-0.21628682087578271,19.4207745552063,20.1935830065873,18.6479661038253,-0.9682926829268292,0,19.055524826049805
2023-10-06,19.00470080788183,19.048810361176308,18.996069842919493,19.018125534057617,10000,0.0,0.0,0.0,19.797147903442383,19.654295778274538,0.1428521251678454,26.58353312309937,19.11830793638181,19.389888332080645,-0.27158039569883385,-0.22734553584039296,19.393109798431396,20.182644170752482,18.60357542611031,6.6923076923076925,0,18.91456413269043
2023-10-09,18.746755221073546,18.881004333496094,18.746755221073546,18.881004333496094,1400,0.0,0.0,0.0,19.752635192871093,19.65736351966858,0.0952716732025145,24.63298840533176,19.08179968978401,19.35219322107438,-0.27039353129037025,-0.23595513493038844,19.34698619842529,20.14333114862002,18.550641248230562,-0.86,0,19.12360954284668
2023-10-10,19.240594490043076,19.240594490043076,19.178264617919922,19.178264617919922,34300,0.0,0.0,0.0,19.713569030761718,19.660831375122072,0.052737655639646164,35.746888061368196,19.096640447958766,19.339309620840716,-0.2426691728819499,-0.23729794252070074,19.320232486724855,20.100545859912334,18.539919113537376,23.5,0,19.091962814331055
2023-10-11,19.293334476072435,19.293334476072435,19.178264086799647,19.26456642150879,8900,0.0,0.0,0.0,19.682001571655274,19.66528380393982,0.016717767715455523,44.84523556859742,19.122475213120307,19.33377308755687,-0.21129787443656411,-0.23209792890387343,19.29942398071289,20.06123597858193,18.537611982843853,-0.7405247813411079,0,18.7956600189209
2023-10-12,19.130321043694615,19.166759851473987,19.015250643080282,19.055524826049805,1000,0.0,0.0,0.0,19.65503692626953,19.66872884750366,-0.013691921234130433,38.89937845766539,19.112175153571,19.313162105223014,-0.2009869516520162,-0.22587573345350198,19.257039928436278,19.97018039420691,18.543899462665646,-0.8876404494382022,0,18.674835205078125
2023-10-13,19.05073000376127,19.05073000376127,18.909768542233234,18.91456413269043,1700,0.0,0.0,0.0,19.626327056884765,19.670840396881104,-0.044513339996338885,37.75315739876681,19.08177345805091,19.28363632947986,-0.20186287142895054,-0.2210731610485917,19.210149192810057,19.880512913676682,18.539785471943432,0.7,0,18.49264144897461
2023-10-16,19.063196436684194,19.127444918209903,19.063196436684194,19.12360954284668,1000,0.0,0.0,0.0,19.60014877319336,19.67527346611023,-0.0751246929168694,48.98541745868592,19.088209778788723,19.271782493432962,-0.18357271464423874,-0.2135730717677211,19.17572431564331,19.783745276842183,18.56770335444444,-0.4117647058823529,0,18.44661521911621
2023-10-17,19.066071746681423,19.168675801787145,19.06319475816681,19.091962814331055,16200,0.0,0.0,0.0,19.571419677734376,19.67818218231201,-0.10676250457763459,49.10124369355722,19.08878716887216,19.258462517203192,-0.16967534833103315,-0.20479352708038354,19.139860916137696,19.670200811763735,18.609521020511657,15.2,0,18.566478729248047
2023-10-18,18.861825272795464,18.877168603035226,18.775522926783598,18.7956600189209,1700,0.0,0.0,0.0,19.541233100891112,19.680493354797363,-0.13926025390625085,39.54607966049308,19.043690684264273,19.224180850663764,-0.18049016639949045,-0.19993285494420493,19.090908432006835,19.550542448087796,18.631274415925873,-0.8950617283950617,0,18.43031120300293
2023-10-19,18.794699356806507,18.794699356806507,18.674835205078125,18.674835205078125,19600,0.0,0.0,0.0,19.50757526397705,19.681406259536743,-0.17383099555969395,37.89201258499949,18.986943687466404,19.18348858062038,-0.19654489315397683,-0.19925526258615933,19.051832580566405,19.513529815839053,18.590135345293756,10.529411764705882,0,18.344009399414062
2023-10-20,18.526203265623927,18.55017573051889,18.478258335834,18.49264144897461,1400,0.0,0.0,0.0,19.46946804046631,19.67930465698242,-0.2098366165161103,37.98735497882071,18.9108971892369,19.13231471901699,-0.22141752978009066,-0.2036877160249456,19.001249885559083,19.475720357174513,18.526779413943654,-0.9285714285714286,0,18.291271209716797
2023-10-23,18.401547273042883,18.554973259176037,18.391957920286806,18.44661521911621,6800,0.0,0.0,0.0,19.434256782531737,19.677091083526612,-0.24283430099487546,42.59523181632,18.839469193833715,19.081522163468783,-0.2420529696350684,-0.21136076674697019,18.952345371246338,19.44434505159125,18.460345690901427,3.8571428571428568,0,18.525245666503906
2023-10-24,18.524287773390107,18.566478729248047,18.497438318214343,18.566478729248047,3000,0.0,0.0,0.0,19.403724975585938,19.67370891571045,-0.26998394012451143,45.92424842490628,18.797470660820533,19.04337079797095,-0.24590013715041792,-0.21826864082765976,18.922427272796632,19.432461214917442,18.412393330675823,-0.5588235294117647,0,18.564563751220703
2023-10-25,18.468668609241842,18.468668609241842,18.41113432886527,18.43031120300293,7800,0.0,0.0,0.0,19.375552101135256,19.66928665161133,-0.2937345504760742,41.752556619870425,18.740984590387054,18.99795897612147,-0.25697438573441644,-0.2260097898090111,18.887522792816164,19.432553189217757,18.34249239641457,1.6,0,18.7563419342041
2023-10-26,18.377573045336423,18.47825849615796,18.276885765533038,18.344009399414062,89200,0.0,0.0,0.0,19.34829975128174,19.663771085739135,-0.3154713344573956,33.942414024030654,18.67991148408352,18.949518266735737,-0.26960678265221816,-0.23472918837765253,18.841974449157714,19.409502393950252,18.274446504365176,10.435897435897436,0,19.19264793395996
2023-10-27,18.459080299024258,18.471546639653354,18.257709391855304,18.291271209716797,18200,0.0,0.0,0.0,19.32169952392578,19.657471857070924,-0.3357723331451439,35.36406411239551,18.620120672642486,18.900759225475074,-0.2806385528325883,-0.2439110612686397,18.795035552978515,19.382362189713877,18.207708916243153,-0.7959641255605381,0,19.461145401000977
2023-10-30,18.478259121197837,18.583738337015134,18.43031236038824,18.525245666503906,163100,0.0,0.0,0.0,19.30052673339844,19.65139708518982,-0.35087035179138226,33.26784544859201,18.605524517851936,18.872943406292023,-0.267418888440087,-0.2486126267029292,18.76919279098511,19.35623050582968,18.18215507614054,7.961538461538462,0,19.457311630249023
2023-10-31,18.49744010679089,18.569357513401915,18.47346580893841,18.564563751220703,5700,0.0,0.0,0.0,19.279526596069335,19.64490439414978,-0.3653777980804449,31.621491962097522,18.59922286144713,18.850100468879333,-0.25087760743220144,-0.24906562284878364,18.759987449645998,19.354111340694253,18.165863558597742,-0.9650521152667075,0,19.380596160888672
2023-11-01,18.612505318050165,18.7563419342041,18.60291596644233,18.7563419342041,8200,0.0,0.0,0.0,19.262266159057617,19.63979602813721,-0.3775298690795914,42.07312266147567,18.623395026486666,18.843155392236724,-0.21976036575005864,-0.24320457142903865,18.760706520080568,19.35477335463998,18.166639685521154,0.4385964912280702,0,19.31922721862793
2023-11-02,19.13031989015989,19.19264793395996,19.082373130719226,19.19264793395996,3300,0.0,0.0,0.0,19.249416732788085,19.63757824897766,-0.3881615161895766,56.370799439284355,18.71097239686717,18.869043728660667,-0.1580713317934972,-0.22617792350193036,18.780412197113037,19.405118331230884,18.15570606299519,-0.5975609756097561,0,19.248266220092773
2023-11-03,19.4275835819845,19.49470722001745,19.4275835819845,19.461145401000977,4400,0.0,0.0,0.0,19.2452933883667,19.636277513504027,-0.39098412513732583,57.52776449649573,18.82638362827237,18.912903111796986,-0.08651948352461503,-0.1982462355064673,18.802563190460205,19.49093289922067,18.11419348169974,0.33333333333333326,0,19.402650833129883
2023-11-06,19.49470882752511,19.528270649309047,19.40840647751438,19.457311630249023,6100,0.0,0.0,0.0,19.240594787597658,19.633917655944824,-0.3933228683471661,58.250404879225385,18.92344947473032,18.95322966871936,-0.029780193989040527,-0.16455302720298196,18.831378555297853,19.579250915246316,18.08350619534939,0.38636363636363646,0,19.401691436767578
2023-11-07,19.331691014393332,19.40361023988754,19.331691014393332,19.380596160888672,4400,0.0,0.0,0.0,19.23069881439209,19.630985136032105,-0.4002863216400172,64.66344015996741,18.9937797341393,18.984886445917084,0.00889328822221458,-0.12986376411794268,18.84149513244629,19.614186968938917,18.068803295953664,-0.2786885245901639,0,19.979917526245117
2023-11-08,19.341282914026742,19.341282914026742,19.28374862344208,19.31922721862793,5700,0.0,0.0,0.0,19.21495349884033,19.62774577140808,-0.4127922725677493,66.65023887649686,19.043848577906783,19.00965242908085,0.034196148825930806,-0.09705178152916798,18.844228172302245,19.623578703904652,18.064877640699837,0.2954545454545454,0,20.008684158325195
2023-11-09,19.475528199169034,19.475528199169034,19.248266220092773,19.248266220092773,2700,0.0,0.0,0.0,19.197961578369142,19.623631639480593,-0.42567006111145034,70.71509470071312,19.075297445935394,19.027327524711364,0.04796992122403054,-0.06804744097852829,18.853865242004396,19.64882733295043,18.058903151058363,-0.5263157894736843,0,19.964574813842773
2023-11-10,19.264568182363057,19.41703577621744,19.249224852730315,19.402650833129883,7600,0.0,0.0,0.0,19.18735595703125,19.619580373764038,-0.43222441673278666,74.73944606005327,19.125659505503776,19.055129251260883,0.07053025424289316,-0.040331901934244,18.878269577026366,19.710185854068367,18.046353299984364,1.8148148148148149,0,20.179370880126953
2023-11-13,19.283745883480186,19.401691436767578,19.283745883480186,19.401691436767578,900,0.0,0.0,0.0,19.175676383972167,19.615855207443236,-0.4401788234710686,73.0301232573257,19.16812595646744,19.080800524261377,0.08732543220606104,-0.01480043510618299,18.89217367172241,19.75023937335053,18.03410797009429,-0.881578947368421,0,20.3481388092041
2023-11-14,19.69607964895489,19.988546663007742,19.69607964895489,19.979917526245117,5500,0.0,0.0,0.0,19.17872570037842,19.616533823013306,-0.43780812263488755,84.3538047798657,19.293016967202465,19.147401783667583,0.14561518353488268,0.017282688622030147,18.936571407318116,19.920779597478827,17.952363217157405,5.111111111111111,0,20.242660522460938
2023-11-15,20.06046629587483,20.06046629587483,19.983753305084907,20.008684158325195,6100,0.0,0.0,0.0,19.18488193511963,19.616836290359497,-0.431954355239867,87.87090111473191,19.40311961199058,19.211200478086663,0.1919191339039159,0.0522099776784073,18.99722261428833,20.08854346737902,17.90590176119764,0.10909090909090913,0,20.290605545043945
2023-11-16,20.022109100305567,20.048000169357522,19.959781052046704,19.964574813842773,5600,0.0,0.0,0.0,19.192956008911132,19.615736446380616,-0.4227804374694841,88.21724891115039,19.489497335352457,19.267005984438967,0.22249135091349004,0.08626625232542384,19.061709594726562,20.22299979775168,17.900419391701444,-0.08196721311475408,0,20.376907348632812
2023-11-17,20.185123028084597,20.19471237998982,20.175535505161236,20.179370880126953,3600,0.0,0.0,0.0,19.20511501312256,19.615710582733154,-0.41059556961059585,88.11311434488044,19.595631726856226,19.334588569304746,0.2610431575514802,0.12122163337063513,19.14604606628418,20.376270806554924,17.915821326013432,-0.3571428571428571,0,20.33854866027832
2023-11-20,20.2800567868254,20.367317513445,20.27046743470495,20.3481388092041,9000,0.0,0.0,0.0,19.216008262634276,19.61851393699646,-0.4025056743621853,88.78229241405624,19.711402047217437,19.409666364852846,0.3017356823645905,0.1573244431694262,19.241122245788574,20.535965067739944,17.946279423837204,1.5,0,20.448827743530273
2023-11-21,20.338550390100487,20.338550390100487,20.21485085134132,20.242660522460938,5800,0.0,0.0,0.0,19.226594696044923,19.621877117156984,-0.3952824211120607,83.57893684518059,19.79313412033182,19.47136963578678,0.32176448454504225,0.1902124514445494,19.324931335449218,20.652484760635637,17.9973779102628,-0.3555555555555555,0,20.448827743530273
